"rank","compound","cell","overlap_up_dn","overlap_dn_up","total_overlap","score"
1,"metformin","HA1E",8,2,10,0.0657894736842105
2,"L-ascorbyl-6-palmitate","A549",6,2,8,0.0526315789473684
3,"pioglitazone","NPC",6,1,7,0.0460526315789474
4,"saxagliptin","YAPC",5,2,7,0.0460526315789474
5,"KD-023","HT29",6,1,7,0.0460526315789474
6,"clopidogrel","PC3",3,3,6,0.0394736842105263
7,"methylprednisolone","A549",3,3,6,0.0394736842105263
8,"rosiglitazone","NPC",3,3,6,0.0394736842105263
9,"guanaben-acetate","NPC",5,1,6,0.0394736842105263
10,"ST-4070043","HA1E",5,1,6,0.0394736842105263
11,"betazole","MCF7",5,1,6,0.0394736842105263
12,"ciglitazone","MCF10A",3,2,5,0.0328947368421053
13,"clofibrate","A549",5,0,5,0.0328947368421053
14,"clofibrate","VCAP",4,1,5,0.0328947368421053
15,"prednisolone","MCF7",5,0,5,0.0328947368421053
16,"aloisine","ASC",4,1,5,0.0328947368421053
17,"JNJ-10191584","ASC",3,2,5,0.0328947368421053
18,"furaltadone","MCF7",0,5,5,0.0328947368421053
19,"PSB-11","HA1E",5,0,5,0.0328947368421053
20,"atractyloside","PC3",4,1,5,0.0328947368421053
21,"DL-PDMP","NCIH2073",2,3,5,0.0328947368421053
22,"vidarabine","MDAMB231",1,4,5,0.0328947368421053
23,"ST-208960","HT29",2,3,5,0.0328947368421053
24,"KU-C104123","VCAP",5,0,5,0.0328947368421053
25,"ergocryptine","PC3",3,2,5,0.0328947368421053
26,"loratadine","MCF7",2,3,5,0.0328947368421053
27,"benazepril","U2OS",4,0,4,0.0263157894736842
28,"betamethasone","A375",3,1,4,0.0263157894736842
29,"enalapril","PHH",3,1,4,0.0263157894736842
30,"methylprednisolone","HT29",1,3,4,0.0263157894736842
31,"mevastatin","ASC",3,1,4,0.0263157894736842
32,"ramipril","A549",2,2,4,0.0263157894736842
33,"triamcinolone","VCAP",3,1,4,0.0263157894736842
34,"PU-H71","PHH",2,2,4,0.0263157894736842
35,"propyl-gallate","MCF10A",2,2,4,0.0263157894736842
36,"VX-661","MDAMB231",1,3,4,0.0263157894736842
37,"acetaldehyde","PC3",3,1,4,0.0263157894736842
38,"D-4476","HUVEC",2,2,4,0.0263157894736842
39,"rivaroxaban","MDAMB231",3,1,4,0.0263157894736842
40,"n-nitrosopyrrolidine","MCF10A",4,0,4,0.0263157894736842
41,"lucitanib","MCF10A",3,1,4,0.0263157894736842
42,"nalidixic-acid","MCF7",2,2,4,0.0263157894736842
43,"cefotaxime","HUH7",4,0,4,0.0263157894736842
44,"5-iodotubercidin","HCC515",1,3,4,0.0263157894736842
45,"fluocinolone-acetonide","VCAP",2,2,4,0.0263157894736842
46,"topiroxostat","A549",1,3,4,0.0263157894736842
47,"SA-1456227","MCF7",3,1,4,0.0263157894736842
48,"ZK-756326","A549",2,2,4,0.0263157894736842
49,"pidotimod","VCAP",3,1,4,0.0263157894736842
50,"SA-418267","NKDBA",3,1,4,0.0263157894736842
51,"SA-1472548","NKDBA",4,0,4,0.0263157894736842
52,"SA-89068","VCAP",2,2,4,0.0263157894736842
53,"ST-001903","HT29",1,3,4,0.0263157894736842
54,"piperonyl-butoxide","HEPG2",3,1,4,0.0263157894736842
55,"ceftazidime","PC3",2,2,4,0.0263157894736842
56,"darunavir","HELA",4,0,4,0.0263157894736842
57,"nadolol","MCF7",3,1,4,0.0263157894736842
58,"L-168049","A375",1,3,4,0.0263157894736842
59,"atorvastatin","HA1E",2,1,3,0.0197368421052632
60,"captopril","HUH7",3,0,3,0.0197368421052632
61,"ezetimibe","HT29",2,1,3,0.0197368421052632
