"rank","compound","cell","overlap_up_dn","overlap_dn_up","total_overlap","score"
1,"metformin","HA1E",8,2,10,0.0657894736842105
2,"L-ascorbyl-6-palmitate","A549",6,2,8,0.0526315789473684
3,"pioglitazone","NPC",6,1,7,0.0460526315789474
4,"saxagliptin","YAPC",5,2,7,0.0460526315789474
5,"KD-023","HT29",6,1,7,0.0460526315789474
6,"clopidogrel","PC3",3,3,6,0.0394736842105263
7,"methylprednisolone","A549",3,3,6,0.0394736842105263
8,"rosiglitazone","NPC",3,3,6,0.0394736842105263
9,"guanaben-acetate","NPC",5,1,6,0.0394736842105263
10,"ST-4070043","HA1E",5,1,6,0.0394736842105263
11,"betazole","MCF7",5,1,6,0.0394736842105263
12,"ciglitazone","MCF10A",3,2,5,0.0328947368421053
13,"clofibrate","A549",5,0,5,0.0328947368421053
14,"clofibrate","VCAP",4,1,5,0.0328947368421053
15,"prednisolone","MCF7",5,0,5,0.0328947368421053
16,"aloisine","ASC",4,1,5,0.0328947368421053
17,"JNJ-10191584","ASC",3,2,5,0.0328947368421053
18,"furaltadone","MCF7",0,5,5,0.0328947368421053
19,"PSB-11","HA1E",5,0,5,0.0328947368421053
20,"atractyloside","PC3",4,1,5,0.0328947368421053
