"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_DENGUE_VIRUS_INFECTION",1.26567456701688e-49,1.70612931633875e-46,1.83722496482485,0.57236095325927,3.18920588692772,396,"P4HA3;POLR2K;H2BC26;SDC1;H3C12;H4C12;H4C11;SPCS3;HYOU1;IFIH1;HSPA8;H2AC25;TIMD4;SRSF2;CPSF3;SNRPB2;H2AC17;H2AC15;STAT2;PDIA3;H3C8;H2AC19;H2AC18;EIF4E;H2BC12;CALR;CANX;DNAJB11;H2AC7;H3C10;EIF4A3;H2BC9;GPC6;DPM1;POLR2B;DDX3X;BCAS2;LY96;SNRPG;MAGT1;H2BC10;H2AC14;SPCS1;LY6E;KPNA2;H2BC8;RPN1;H2AC4;DYNLT1;UBE2I;H4C9;H4C16;CRNKL1;SUMO1;STT3B;HNRNPF;H2BC7;NEK2;CLEC5A;H2BC21;H2BC5;HSPA5;H2BC13;OSTC;H2AC13;H3C4;SF3B1;AUP1;CSTF2;H4C14;UBA3;DDX23;H2AC16;H2BC14;SRSF1;H2BC4;H4C15;H2BC17;H3C7;SRSF7;POLR2D;XPO1;EIF4G2;HNRNPH2;PTBP1;CDC73;MAP1LC3B;CTR9;NRBP1;CSTF1;AP2M1;SNRPB;CGAS;U2AF1;CD2BP2;AP2S1;NUDT21;PPIL1;HNRNPA2B1;H3C3;SF3B6;TSG101;ALYREF;SRSF3;SPCS2;PPIL4;HNRNPL;DNAJC3;H2AC8;H3C13;H4C1;RPN2;CLDN1;H2BC6;SRSF11;HNRNPH1;HNRNPC;SF3B4;DNAJA2;STT3A;U2SURP;HSP90AB1;SRSF9;KDELR1;DDX5;H2BC3;H3C11;LEO1;H3C14;SNRPA1;C4B;DNAJC10;SDC4;C4A;H3C15;UBA6;H2AC11;H2AC21;HNRNPK;H2BC15;DAXX;PAPOLA;ELAVL1;CPSF2;POLR2G;H2AC12;FUS;SNRPE;P4HA1;CDC40;H2BC11;LYN;CCAR1;BAG2;CTNNBL1;RNPS1;SEC11A;CD300A;CLINT1;DHX9;RICTOR;TRIM25;CLP1;DNAJC8;HSP90AA1;H2BC18;KPNA1;DHX15;WBP11;SNRPF;UFD1;AP2B1;IPO7;EIF4G1;SNRNP40;POLR2J;H2AC6;P4HA2;DAD1;NCBP2;H3C2;UBA1;U2AF2;TMEM258;POLR2H;ISY1;SF3B5;RBM22;PCBP1;SEC11C;PRPF19;H4C8;P4HB;RTF1;RETREG1;PDCD6IP;BECN1;EMC4;PCF11;SMNDC1;UBA5;SNRPD1;AQR;PRCC;HNRNPM;RIPK1;SRSF6;OST4;HNRNPU;H4C4;CDC5L;HNRNPA3;H2AC20;UBC;XRN1;CSTF2T;H3C6;CSTF3;BUD31;DPM2;KPNA4;SF3B3;SNRPD3"
"REACTOME_CELL_CYCLE_CHECKPOINTS",2.49140731162108e-48,1.67920852803261e-45,1.81454230543492,0.628370062155291,3.38769957238021,286,"H2BC26;UBE2D1;H4C12;H4C11;PSMA5;YWHAZ;PPP2CA;PSMC2;PSMA6;PSMA4;BUB1;PSMA2;KIF2A;MAPRE1;BUB3;H2BC12;RAD17;H2BC9;UBE2N;CCNE2;YWHAQ;PLK1;ZW10;CENPQ;CDC6;CENPU;ZWILCH;H2BC10;RAD1;PSMD6;ZWINT;H2BC8;CDKN1A;CCNB1;H4C9;PSMA1;DBF4;CDK1;H4C16;PKMYT1;H2AX;H2BC7;PSMD14;CENPK;RPA3;H2BC21;YWHAH;H2BC5;RMI1;PSMD12;CDC7;H2BC13;SKA1;PPP1CC;UBE2S;TOPBP1;PSMB4;PSMD1;SGO2;NUP37;YWHAB;MAD2L1;H4C14;UBE2V2;KIF18A;H2BC14;H2BC4;H4C15;H2BC17;UBE2C;PSMB1;CDKN1B;XPO1;BUB1B;RFC4;KNL1;CENPA;SKP1;BLM;BIRC5;KIF2C;PSMA3;RBX1;PSMD2;PSMB2;PSMC6;CCNB2;CENPE;CDC20;ERCC6L;ADRM1;CLSPN;CENPI;CDKN2A;PSMC4;DNA2;CDK2;SKA2;H4C1;PSMD7;UBE2E1;SPC25;H2BC6;PHF20;DSN1;MCM2;H2BC3;GSK3B;ORC6;DYNLL1;RHNO1;CDCA8;NDC80;ANAPC11;CKAP5;PSMA7;FBXW11;NUF2;CENPL;CCNA2;H2BC15;RMI2;PLK3;BARD1;PPP2R5E;RAD9A;DYNC1LI1;H2BC11;DYNLL2;MCM4;ORC3;CHEK1;SGO1;MCM6;GTSE1;EXO1;SPC24;BRIP1;PSMB3;CDC25A;MCM10;RFC5;AURKB;NUP160;RCC2;CDC25C;SEM1;CCNE1;PSMB5;CENPF;CENPH;CSNK1A1;CENPP;KNTC1;ORC2;H4C8;MIS12;NUP43;CLIP1;RPA2;SPDL1;CDC23;CENPN;CUL1;CENPM;SEC13;PSMD8;INCENP;PSMD11;RNF168;PSMD3;PPP2R1A;RANBP2;H4C4;ITGB3BP;UBC;ORC5;SEH1L;MCM8;PSMC5;PSMC3;MDM2;WEE1;NBN;NUP107;CDC27;ATM;MAPK14;PIAS4;PSMB7;ORC1;CHEK2;RFC2;ATRIP;PSMC1;BRCC3;UBB"
"REACTOME_M_PHASE",2.50323661937895e-47,1.12478765430761e-44,1.79157248947691,0.567468447761811,3.16637728966162,395,"TNPO1;H2BC26;TUBB3;H3C12;UBE2D1;H4C12;H4C11;RAB2A;PSMA5;PPP2CA;PSMC2;PSMA6;PSMA4;RAD21;NUP210;WAPL;BUB1;PSMA2;KIF2A;MAPRE1;RAB1A;H3C8;H2AC19;H2AC18;NEK6;BUB3;H2BC12;H2AC7;H3C10;H2BC9;NUP50;TUBA1C;PLK1;ZW10;CENPQ;CENPU;ZWILCH;H2BC10;NEDD1;H2AC14;PSMD6;ZWINT;H2BC8;H2AC4;UBE2I;CHMP2B;CCNB1;KIF23;H4C9;PSMA1;CDK1;H4C16;H2AX;SUMO1;H2BC7;PSMD14;NEK2;CENPK;H2BC21;H2BC5;PSMD12;H2BC13;SKA1;PPP1CC;CNEP1R1;UBE2S;PSMB4;H3C4;PSMD1;SGO2;NUP37;MAD2L1;H4C14;VRK2;SMC4;KIF18A;CEP135;H2BC14;H2BC4;GORASP2;H4C15;H2BC17;UBE2C;PSMB1;H3C7;XPO1;BUB1B;CHMP4B;KNL1;CENPA;PTTG1;BLZF1;BIRC5;RAE1;KIF2C;PLK4;PRKCB;PDS5A;FBXO5;CSNK2A1;PSMA3;NCAPH;PSMD2;PSMB2;TMPO;PSMC6;H3C3;CCNB2;CENPE;MZT1;NUP155;LEMD3;CDC20;ERCC6L;CCP110;ADRM1;CENPI;PSMC4;H2AC8;TUBA4B;H3C13;BANF1;LMNB1;SKA2;H4C1;PSMD7;UBE2E1;SPC25;H2BC6;TUBA1B;SPAST;CDCA5;DSN1;H2BC3;H3C11;DYNLL1;H3C14;CDCA8;NDC80;ANAPC11;NCAPG;RCC1;CKAP5;H3C15;PSMA7;ESPL1;NUF2;MASTL;TUBA1A;LPIN2;HAUS2;NUP153;CENPL;NDC1;H2BC15;NUP205;NUP62;KIF20A;PPP2R5E;DYNC1LI1;H2BC11;DYNLL2;H3-3A;RB1;RAN;HSP90AA1;SGO1;SPC24;NCAPG2;PSMB3;H2AC6;STAG2;AURKB;IST1;NUP160;RCC2;H3C2;SEM1;PSMB5;CENPF;CENPH;CENPP;KNTC1;H4C8;CETN2;ARPP19;MIS12;H2AZ2;NUP43;ENSA;CLIP1;RAB1B;H3-3B;ANKLE2;SPDL1;CDC23;CENPN;SET;CENPM;SEC13;CEP70;PSMD8;INCENP;PSMD11;CHMP7;TUBA4A;PSMD3;PPP2R1A;TUBB;H2AJ;RANBP2;CSNK1D;H4C4;H2AC20;ITGB3BP;UBC;PPP2R2A;HAUS1;SEH1L;MAPK1;CHMP2A;H3C6;CHMP4A;SMC3;PSMC5;PSMC3;CEP43;CEP41"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.45934726754044e-45,8.28800029161127e-43,1.75655466618793,0.685159482801831,3.52173265610192,197,"CASP3;OAS2;IFI44;MX1;CXCL11;CMPK2;CXCL9;EPSTI1;HERC6;RSAD2;CD69;CXCL10;CD86;EIF2AK2;STAT1;RIGI;ISG15;MARCHF1;SP110;MYD88;ZBP1;IRF7;HELZ2;OAS3;PTPN1;SAMD9L;PSMB10;OASL;PTPN6;DDX60;B2M;IFIT1;IFI27;IRF9;IFI44L;NAMPT;UBE2L6;IFI30;IL2RB;FCGR1A;IFIH1;ADAR;TRAFD1;PSME1;RTP4;PSMB8;GCH1;PSMA2;CASP8;ST8SIA4;TRIM14;STAT2;LAP3;ISG20;PARP14;TDRD7;LCP2;PSME2;SPPL2A;CCL5;TAPBP;BPGM;NMI;NCOA3;GZMA;VAMP8;LY6E;SLAMF7;BST2;SECTM1;HLA-DQA1;MX2;CDKN1A;PARP12;IRF8;MTHFD2;IFIT2;HLA-B;HIF1A;PNP;TNFAIP3;CFB;RNF213;MVP;ITGB7;TRIM26;IFIT3;LYSMD2;CD74;TAP1;HLA-DRB1;HLA-A;OGFR;IRF1;PSMA3;PSMB2;RAPGEF6;TRIM21;CASP7;IRF5;PSMB9;IDO1;IFITM3;CASP1;PLSCR1;KLRK1;SOCS3;RIPK2;NFKB1;TNFAIP6;IL4R;ICAM1;PIM1;CCL2;IFI35;HLA-DMA;ZNFX1;TRIM25"
"REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY",1.28329379432663e-41,3.4597600695046e-39,1.67817787124255,0.611582160743996,3.26168530821756,267,"LEF1;ICOS;CD80;CD86;STAT1;CTLA4;H2BC26;H3C12;CD3D;H4C12;H4C11;PTPN6;PSMA5;PPP2CA;PSMC2;PSMA6;CD3E;PSMA4;HLA-DRA;CD3G;CSK;LCK;PSMA2;H3C8;H2AC19;H2AC18;H2BC12;HLA-DPA1;H2AC7;HLA-DQB1;H3C10;H2BC9;HLA-DQB2;PIK3CG;TRAV29DV5;CUL3;CD247;MAGT1;H2BC10;H2AC14;PSMD6;DERL1;H2BC8;RPN1;H2AC4;HLA-DPB1;HLA-DQA1;GRAP2;H4C9;PSMA1;H4C16;H2AX;SEL1L;HIF1A;STT3B;H2BC7;PSMD14;NEK2;H2BC21;H2BC5;PSMD12;H2BC13;OSTC;PSMB4;TRIB3;BTLA;COPS5;CDC42;H3C4;PSMD1;H4C14;H2BC14;PAK2;H2BC4;H4C15;H2BC17;PSMB1;H3C7;RBBP7;TRAV19;PAK1;SKP1;HLA-DRB1;ERLEC1;PRKAG1;CSNK2A1;IRF1;PSMA3;RBX1;PSMD2;PSMB2;PSMC6;H3C3;TRAV8-4;CD4;ADRM1;CD28;PSMC4;RAC1;H2AC8;H3C13;PDPK1;H4C1;PDCD1;PSMD7;RPN2;PIK3R5;H2BC6;STT3A;DPY30;H2BC3;GSK3B;H3C11;H3C14;RBBP4;VAV1;MOV10;GRB2;H3C15;PSMA7;EZH2;NFKB1;H2BC15;HLA-DQA2;PPP2R5E;H2BC11;LYN;RNF5;TRBV7-9;H3-3A;SRC;PIK3R3;RICTOR;PRKAB1;PSMB3;TRBV12-3;H2AC6;DAD1;PIK3CB;HLA-DRB5;H3C2;TMEM258;SEM1;PSMB5;H4C8;H2AZ2;DERL3;H3-3B;CUL1;NFE2L2;PSMD8;PSMD11;RELA;PSMD3;PPP2R1A;OST4;H2AJ;H4C4;H2AC20;CD274;DERL2;UBC"
"REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS",1.61749954007418e-38,3.63398230003332e-36,1.61530228892975,0.584619298097191,3.15182830222045,286,"POLR2K;H2BC26;SDC1;H3C12;H4C12;H4C11;IFIH1;HSPA8;H2AC25;SRSF2;CPSF3;SNRPB2;H2AC17;H2AC15;STAT2;H3C8;H2AC19;H2AC18;H2BC12;H2AC7;H3C10;EIF4A3;H2BC9;GPC6;POLR2B;DDX3X;BCAS2;LY96;SNRPG;H2BC10;H2AC14;H2BC8;H2AC4;DYNLT1;UBE2I;H4C9;H4C16;CRNKL1;HNRNPF;H2BC7;NEK2;CLEC5A;H2BC21;H2BC5;H2BC13;H2AC13;H3C4;SF3B1;AUP1;CSTF2;H4C14;DDX23;H2AC16;H2BC14;SRSF1;H2BC4;H4C15;H2BC17;H3C7;SRSF7;POLR2D;HNRNPH2;PTBP1;CDC73;CTR9;NRBP1;CSTF1;SNRPB;CGAS;U2AF1;CD2BP2;NUDT21;PPIL1;HNRNPA2B1;H3C3;SF3B6;ALYREF;SRSF3;PPIL4;HNRNPL;H2AC8;H3C13;H4C1;H2BC6;SRSF11;HNRNPH1;HNRNPC;SF3B4;U2SURP;HSP90AB1;SRSF9;DDX5;H2BC3;H3C11;LEO1;H3C14;SNRPA1;C4B;SDC4;C4A;H3C15;H2AC11;H2AC21;HNRNPK;H2BC15;DAXX;PAPOLA;ELAVL1;CPSF2;POLR2G;H2AC12;FUS;SNRPE;CDC40;H2BC11;CCAR1;CTNNBL1;RNPS1;DHX9;RICTOR;TRIM25;CLP1;DNAJC8;HSP90AA1;H2BC18;DHX15;WBP11;SNRPF;SNRNP40;POLR2J;H2AC6;NCBP2;H3C2;U2AF2;POLR2H;ISY1;SF3B5;RBM22;PCBP1;PRPF19;H4C8;RTF1;RETREG1;PDCD6IP;BECN1;PCF11;SMNDC1;SNRPD1;AQR;PRCC;HNRNPM;RIPK1;SRSF6;HNRNPU;H4C4;CDC5L;HNRNPA3;H2AC20"
"HALLMARK_ALLOGRAFT_REJECTION",4.37141541563321e-35,8.41809711467653e-33,1.54318309134871,0.64663618764598,3.29936850165559,188,"IGSF6;INHBA;CXCL9;CCL22;CD80;PTPRC;CD86;STAT1;LY86;CD2;FYB1;GPR65;UBE2D1;CD3D;CCL11;IRF7;PSMB10;PTPN6;ABI1;CCR1;B2M;F2R;TRAT1;IL12RB1;CCR5;TGFB1;CD3E;BCAT1;HLA-DRA;IL2RB;CD3G;CSK;GALNT1;LCK;IL2RG;HLA-DMB;LIF;IL18;CCL4;ST8SIA4;ITGAL;SIT1;LCP2;HLA-DOA;CXCR3;IL12B;ITK;TNF;UBE2N;SRGN;CD8A;CCL5;TAPBP;BCL10;TLR1;CD247;GZMA;TPD52;LTB;TLR6;CD7;CD79A;HLA-DQA1;IRF8;CD96;CCR2;HIF1A;MAP4K1;FASLG;CAPG;CD1D;CTSS;GZMB;CD74;MRPL3;TAP1;HLA-A;ITGB2;PRKCB;CD8B;IL1B;HCLS1;CD4;CCL19;THY1;ELF4;ABCE1;CD28;CDKN2A;SPI1;IFNG;CRTAM;NME1;IL2RA;ZAP70;EIF3J;MAP3K7;RIPK2;IFNGR2;IL4R;ICAM1;CCL2;CXCL13;LYN;HLA-DMA;WAS"
"REACTOME_CO_INHIBITION_BY_PD_1",8.68673906411476e-35,1.46371553230334e-32,1.53645895003215,0.622186814466581,3.22934372735306,216,"LEF1;STAT1;H2BC26;H3C12;CD3D;H4C12;H4C11;PTPN6;PSMA5;PSMC2;PSMA6;CD3E;PSMA4;HLA-DRA;CD3G;CSK;LCK;PSMA2;H3C8;H2AC19;H2AC18;H2BC12;HLA-DPA1;H2AC7;HLA-DQB1;H3C10;H2BC9;HLA-DQB2;TRAV29DV5;CUL3;CD247;MAGT1;H2BC10;H2AC14;PSMD6;DERL1;H2BC8;RPN1;H2AC4;HLA-DPB1;HLA-DQA1;H4C9;PSMA1;H4C16;H2AX;SEL1L;HIF1A;STT3B;H2BC7;PSMD14;NEK2;H2BC21;H2BC5;PSMD12;H2BC13;OSTC;PSMB4;COPS5;H3C4;PSMD1;H4C14;H2BC14;H2BC4;H4C15;H2BC17;PSMB1;H3C7;RBBP7;TRAV19;SKP1;HLA-DRB1;ERLEC1;PRKAG1;CSNK2A1;IRF1;PSMA3;RBX1;PSMD2;PSMB2;PSMC6;H3C3;TRAV8-4;CD4;ADRM1;PSMC4;H2AC8;H3C13;H4C1;PDCD1;PSMD7;RPN2;H2BC6;STT3A;DPY30;H2BC3;GSK3B;H3C11;H3C14;RBBP4;MOV10;H3C15;PSMA7;EZH2;NFKB1;H2BC15;HLA-DQA2;H2BC11;RNF5;TRBV7-9;H3-3A;PRKAB1;PSMB3;TRBV12-3;H2AC6;DAD1;HLA-DRB5;H3C2;TMEM258;SEM1;PSMB5;H4C8;H2AZ2;DERL3;H3-3B;CUL1;NFE2L2;PSMD8;PSMD11;RELA;PSMD3;OST4;H2AJ;H4C4;H2AC20;CD274;DERL2;UBC"
"HALLMARK_E2F_TARGETS",2.0128907281767e-34,3.01486300175799e-32,1.52292160289117,0.63347675340647,3.25921850277522,200,"DCK;SMC6;JPT1;RRM2;HMGB3;RAD21;SRSF2;PRPS1;DCTPP1;PLK1;ZW10;DONSON;DEPDC1;RAD1;KPNA2;ATAD2;GSPT1;CDKN1A;CDK1;H2AZ1;CKS2;H2AX;MTHFD2;MYBL2;RPA3;UBE2S;PPP1R8;E2F8;MAD2L1;SMC4;RAD51AP1;AURKA;BRCA2;CNOT9;GINS1;SRSF1;TK1;ASF1A;CDKN1B;HMMR;XPO1;CSE1L;BUB1B;RBBP7;MXD3;KIF4A;PTTG1;BIRC5;RACGAP1;STMN1;SNRPB;KIF2C;TRIP13;PLK4;PRDX4;TFRC;NUDT21;PCNA;HMGB2;DLGAP5;TMPO;CCNB2;CENPE;CDC20;USP1;CCP110;HMGA1;DSCC1;CDKN2A;EIF2S1;LMNB1;TOP2A;CTCF;SPC25;UBE2T;DEK;KIF22;NME1;MCM2;CDKN3;ORC6;TACC3;CDCA8;ESPL1;EZH2;NUP153;NUP205;BARD1;SPAG5;MCM4;MELK;RAN;CHEK1;MCM6;SPC24;UBR7;CDC25A;IPO7;DCLRE1B;AURKB;TRA2B;MKI67;CKS1B;SLBP;CCNE1;CDCA3;PAICS;TIMELESS;ORC2;ASF1B;GINS4;RPA2;GINS3;CENPM;CTPS1;HELLS;TUBB;DNMT1;ANP32E;CBX5;NOLC1;DIAPH3;AK2;CDK4;SMC3;RNASEH2A;KIF18B;NOP56;PRIM2;PA2G4;MSH2;WEE1;NBN;CIT;RANBP1;SYNCRIP;NUP107;RAD51C;PRKDC;CHEK2;RFC2;XRCC6"
"REACTOME_DNA_REPLICATION",3.27267288263981e-34,4.41156304579846e-32,1.52292160289117,0.65309087730791,3.31021825562529,181,"H2BC26;H3C12;UBE2D1;H4C12;H4C11;PSMA5;PSMC2;PSMA6;PSMA4;PSMA2;H3C8;H2AC19;H2AC18;H2BC12;H2AC7;H3C10;H2BC9;POLD4;CCNE2;CDC6;H2BC10;H2AC14;PSMD6;H2BC8;H2AC4;H4C9;PSMA1;DBF4;H4C16;H2AX;H2BC7;PSMD14;RPA3;H2BC21;H2BC5;PSMD12;CDC7;H2BC13;UBE2S;PSMB4;H3C4;PSMD1;H4C14;H2BC14;GINS1;H2BC4;H4C15;H2BC17;UBE2C;PSMB1;H3C7;RFC4;SKP1;PSMA3;PCNA;SSBP1;RBX1;PSMD2;PSMB2;PSMC6;H3C3;ADRM1;PRIM1;PSMC4;DNA2;H2AC8;H3C13;CDK2;H4C1;PSMD7;UBE2E1;H2BC6;MCM2;H2BC3;H3C11;ORC6;H3C14;ANAPC11;H3C15;PSMA7;FEN1;CCNA2;H2BC15;H2BC11;H3-3A;MCM4;KPNA6;ORC3;MCM6;KPNA1;PSMB3;MCM10;RFC5;H2AC6;H3C2;SEM1;CCNE1;PSMB5;ORC2;MGME1;H4C8;H2AZ2;GINS2;GINS4;H3-3B;RPA2;CDC23;GINS3;CUL1;PSMD8;PSMD11;PSMD3;H2AJ;H4C4;H2AC20;UBC;ORC5;H3C6;POLE3;MCM8;PSMC5;PSMC3;PRIM2"
