"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Nervous System Development (GO:0007399)","22/433",0.000286474969341909,0.241995959477938,0,0,2.4343152383099,19.8588014315665,"CNTFR;NLGN1;GSN;SEMA6A;ZBTB16;SPINK5;CRIM1;VLDLR;ECRG4;KALRN;EGFR;POU3F3;SNTG2;PTPRZ1;ALDH1A2;NTF3;DNER;ADORA1;IGF2BP2;SOX6;NES;ADGRL3"
"Melanin Biosynthetic Process (GO:0042438)","3/7",0.000353536829040085,0.241995959477938,0,0,33.3289772727273,264.882809910789,"OCA2;CITED1;DCT"
"Cellular Response To Nerve Growth Factor Stimulus (GO:1990090)","4/21",0.00105369736247473,0.342599969405371,0,0,10.4730001339944,71.797128794463,"NTF4;NTRK2;NTRK3;NTF3"
"Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135)","8/93",0.00107116043121051,0.342599969405371,0,0,4.21300878972279,28.8128206308492,"NTF4;MLXIPL;NTRK3;NTF3;HRC;SPRY2;DMD;EGFR"
"Negative Regulation Of Neuron Apoptotic Process (GO:0043524)","7/74",0.00125127819359157,0.342599969405371,0,0,4.6703409557716,31.2146426852887,"NTF4;CNTFR;NTRK2;CITED1;PTPRZ1;NTF3;PPARGC1A"
"Central Nervous System Development (GO:0007417)","15/283",0.00170483399704473,0.388986290325706,0,0,2.52244908634398,16.0788157698236,"VIT;GSN;ZBTB16;SPINK5;GRIN2B;ECRG4;POU3F3;SNTG2;PTPRZ1;NFIB;DNER;PHGDH;SOX6;NES;ADGRL3"
"Extracellular Structure Organization (GO:0043062)","8/109",0.00294438211808557,0.515873633510271,0,0,3.54268806190964,20.6462769086254,"VIT;ADAMTS5;HPSE2;ADAMTS18;SPINK5;ADAMTS8;ADAMTS9;MATN2"
"External Encapsulating Structure Organization (GO:0045229)","8/110",0.0031154421129112,0.515873633510271,0,0,3.5077755240027,20.2447202591951,"VIT;ADAMTS5;HPSE2;ADAMTS18;SPINK5;ADAMTS8;ADAMTS9;MATN2"
"Negative Regulation Of Neuron Death (GO:1901215)","7/88",0.00339142637077607,0.515873633510271,0,0,3.86034658511723,21.9518789525807,"NTF4;CNTFR;NTRK2;CITED1;PTPRZ1;NTF3;PPARGC1A"
"Podocyte Cell Migration (GO:0090521)","2/5",0.00468296084068693,0.55631163677951,0,0,29.5600907029478,158.555144966848,"KANK1;DAAM2"
"Positive Regulation Of Positive Chemotaxis (GO:0050927)","3/16",0.00487636204627766,0.55631163677951,0,0,10.2503496503496,54.566258462559,"NTRK3;NTF3;VEGFD"
"Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881)","3/16",0.00487636204627766,0.55631163677951,0,0,10.2503496503496,54.566258462559,"HRC;ATP1A2;DMD"
"Positive Regulation Of Blood Circulation (GO:1903524)","2/6",0.00692175224100861,0.6303882619929,0,0,22.1689342403628,110.248023763495,"HRC;ATP1A2"
"Elastic Fiber Assembly (GO:0048251)","2/6",0.00692175224100861,0.6303882619929,0,0,22.1689342403628,110.248023763495,"TNXB;MYH11"
"Negative Regulation Of Cardiocyte Differentiation (GO:1905208)","2/6",0.00692175224100861,0.6303882619929,0,0,22.1689342403628,110.248023763495,"SOX6;EGFR"
"Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)","3/19",0.00803325135248373,0.6303882619929,0,0,8.32713068181818,40.1714601489601,"SEMA6A;TNXB;SPRY2"
"Regulation Of Neuron Apoptotic Process (GO:0043523)","7/105",0.00884579440291338,0.6303882619929,0,0,3.18790956749672,15.0718407475074,"NTF4;CNTFR;NTRK2;CITED1;PTPRZ1;NTF3;PPARGC1A"
"Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882)","3/20",0.00929770056525879,0.6303882619929,0,0,7.83689839572193,36.6609179097737,"HRC;ATP1A2;DMD"
"Ethanol Oxidation (GO:0006069)","2/7",0.00954904896297951,0.6303882619929,0,0,17.7342403628118,82.4875154153735,"ADH4;ADH6"
"Intermediate Filament Bundle Assembly (GO:0045110)","2/7",0.00954904896297951,0.6303882619929,0,0,17.7342403628118,82.4875154153735,"KRT14;PKP1"
"Response To Transforming Growth Factor Beta (GO:0071559)","4/38",0.00966994412114748,0.6303882619929,0,0,5.23194425834115,24.2695911674635,"CLEC3B;SFRP1;CITED1;SOX6"
"Positive Regulation Of Cell Junction Assembly (GO:1901890)","5/61",0.0112252630607116,0.68008710811468,0,0,3.97525277234181,17.8472487750197,"ACE2;SFRP1;NLGN1;MYOC;LRRC4B"
"Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880)","3/22",0.0121568971818684,0.68008710811468,0,0,7.01124401913876,30.9185947412933,"HRC;ATP1A2;DMD"
"Schwann Cell Development (GO:0014044)","2/8",0.0125466204289188,0.68008710811468,0,0,14.7777777777778,64.7016026423092,"MYOC;LGI4"
"Peripheral Nervous System Axon Ensheathment (GO:0032292)","2/8",0.0125466204289188,0.68008710811468,0,0,14.7777777777778,64.7016026423092,"MYOC;LGI4"
"Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)","9/172",0.0146790020942104,0.68008710811468,0,0,2.4673602668853,10.4155597676012,"CLDN10;LRFN5;NLGN1;CDH23;FAT2;CLDN18;CEACAM8;LRRC4B;ADGRL3"
