"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Tyrosine metabolism","5/36",0.001115443332467,0.199664356511592,0,0,7.19030785093534,48.8833319797681,"ADH4;DCT;MAOA;TAT;ADH6"
"PI3K-Akt signaling pathway","14/354",0.0269923374377175,0.99998416404179,0,0,1.84449472096531,6.6626879846135,"NTRK2;PHLPP1;TNXB;PKN3;LAMA3;VEGFD;EGFR;NTF4;GHR;NTF3;COL6A6;PCK1;FGF10;ITGA9"
"ECM-receptor interaction","5/88",0.0458390584993225,0.99998416404179,0,0,2.67838477196457,8.25643910607347,"TNXB;LAMA3;COL6A6;FREM1;ITGA9"
"Phenylalanine metabolism","2/17",0.0534690029934403,0.99998416404179,0,0,5.90839002267574,17.303625206656,"MAOA;TAT"
"Glycolysis / Gluconeogenesis","4/67",0.0612384327134764,0.99998416404179,0,0,2.81939472827856,7.87451393696602,"ADH4;ALDOC;PCK1;ADH6"
"Pyruvate metabolism","3/47",0.0857104909573182,0.99998416404179,0,0,3.02370867768595,7.42858714415298,"ADH4;PCK1;ADH6"
"Proximal tubule bicarbonate reclamation","2/23",0.0912780764222013,0.99998416404179,0,0,4.21898283122773,10.0995894664324,"ATP1A2;PCK1"
"Renin-angiotensin system","2/23",0.0912780764222013,0.99998416404179,0,0,4.21898283122773,10.0995894664324,"ACE2;MME"
"Phenylalanine, tyrosine and tryptophan biosynthesis","1/6",0.125768940001691,0.99998416404179,0,0,8.84705882352941,18.3426854882491,"TAT"
"Ras signaling pathway","8/232",0.144744972980895,0.99998416404179,0,0,1.58727422003284,3.0678548702876,"NTF4;NTRK2;MRAS;NTF3;VEGFD;GRIN2B;EGFR;FGF10"
"Focal adhesion","7/201",0.159664837657652,0.99998416404179,0,0,1.60244254232479,2.93996676046857,"TNXB;LAMA3;VEGFD;COL6A6;TLN2;EGFR;ITGA9"
"Rap1 signaling pathway","7/210",0.185812890039219,0.99998416404179,0,0,1.53068649161658,2.57616844680356,"MRAS;ARAP3;VEGFD;TLN2;GRIN2B;EGFR;FGF10"
"Retinol metabolism","3/68",0.191075244577918,0.99998416404179,0,0,2.04461538461538,3.38401834239174,"ADH4;ALDH1A2;ADH6"
"Protein digestion and absorption","4/103",0.19485622296058,0.99998416404179,0,0,1.7908469662456,2.92891823346325,"ACE2;MME;COL6A6;ATP1A2"
"Drug metabolism","4/108",0.217850088337176,0.99998416404179,0,0,1.70431049588225,2.5972807776697,"ADH4;MAOA;UPP2;ADH6"
"Ubiquinone and other terpenoid-quinone biosynthesis","1/11",0.21843011000581,0.99998416404179,0,0,4.42239819004525,6.72774650859233,"TAT"
"Glycine, serine and threonine metabolism","2/40",0.221861685306986,0.99998416404179,0,0,2.32951426184509,3.50755225742956,"MAOA;PHGDH"
"PPAR signaling pathway","3/74",0.225532330716718,0.99998416404179,0,0,1.87125480153649,2.7868443508939,"LPL;SORBS1;PCK1"
"Cell adhesion molecules","5/148",0.231455338768118,0.99998416404179,0,0,1.54979723472874,2.26792421471166,"CLDN10;NLGN1;CLDN18;LRRC4B;ITGA9"
"Arrhythmogenic right ventricular cardiomyopathy","3/77",0.243189295891385,0.99998416404179,0,0,1.79511670761671,2.53814269718316,"SGCA;DMD;ITGA9"
"Fatty acid degradation","2/43",0.24651361646715,0.99998416404179,0,0,2.15873015873016,3.02295197621909,"ADH4;ADH6"
"Neurotrophin signaling pathway","4/119",0.270655373626746,0.99998416404179,0,0,1.54041794592453,2.01318600244583,"NTF4;NTRK2;NTRK3;NTF3"
"Calcium signaling pathway","7/240",0.283467060093789,0.99998416404179,0,0,1.33153522069536,1.67861232943277,"NTRK2;NTRK3;HRC;VEGFD;RYR3;EGFR;FGF10"
"Cocaine addiction","2/49",0.29596923837862,0.99998416404179,0,0,1.882568630289,2.29202684512181,"MAOA;GRIN2B"
