"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Myogenesis","9/200",0.0345974190521875,0.988916361661471,0,0,2.1026129756074,7.07313999423076,"MRAS;GSN;SGCA;HRC;DMD;MYH11;SORBS1;CRYAB;COX7A1"
"Hypoxia","7/200",0.156868835292089,0.988916361661471,0,0,1.61082854019109,2.9838106220672,"CDKN1C;PKP1;ALDOC;VLDLR;PCK1;PPARGC1A;EGFR"
"KRAS Signaling Dn","7/200",0.156868835292089,0.988916361661471,0,0,1.61082854019109,2.9838106220672,"CYP39A1;CNTFR;ITIH3;NPY4R;ZBTB16;NTF3;PKP1"
"Hedgehog Signaling","2/36",0.189360859006,0.988916361661471,0,0,2.60410830999066,4.33349866314681,"CNTFR;VLDLR"
"Cholesterol Homeostasis","3/74",0.225532330716718,0.988916361661471,0,0,1.87125480153649,2.7868443508939,"ADH4;LPL;ALDOC"
"Apical Junction","6/200",0.283552795027058,0.988916361661471,0,0,1.3703791077874,1.7271668289445,"CALB2;ADAMTS5;LAMA3;CLDN18;EGFR;ITGA9"
"UV Response Dn","4/144",0.395765780908309,0.988916361661471,0,0,1.26371623820371,1.17137991111054,"NFIB;PTPN21;VLDLR;KALRN"
"Notch Signaling","1/32",0.51194578368765,0.988916361661471,0,0,1.42504743833017,0.954121346563957,"MAML2"
"Angiogenesis","1/36",0.553839512302855,0.988916361661471,0,0,1.26192630898513,0.745647425291096,"LPL"
"Coagulation","3/138",0.592789429601957,0.988916361661471,0,0,0.980909090909091,0.512933093950649,"TF;GSN;DCT"
"Adipogenesis","4/200",0.649755008190735,0.988916361661471,0,0,0.900051136627772,0.388065955918362,"CAVIN2;LPL;LIFR;SORBS1"
"Xenobiotic Metabolism","4/200",0.649755008190735,0.988916361661471,0,0,0.900051136627772,0.388065955918362,"MAOA;TTPA;TAT;NDRG2"
"Androgen Response","2/100",0.653088270641694,0.988916361661471,0,0,0.900504419454857,0.383653587942123,"PTPN21;LIFR"
"UV Response Up","3/158",0.683295471540997,0.988916361661471,0,0,0.853460410557185,0.32502153977214,"CDKN1C;MAOA;NTRK3"
"TGF-beta Signaling","1/54",0.702150297821555,0.988916361661471,0,0,0.832579185520362,0.294406492795045,"CDKN1C"
"Spermatogenesis","2/135",0.803732312544083,0.988916361661471,0,0,0.662336112389818,0.144713161376294,"PACRG;NPY5R"
"Mitotic Spindle","3/199",0.820379666647561,0.988916361661471,0,0,0.673504174397032,0.133345769920277,"GSN;ARAP3;SORBS2"
"Epithelial Mesenchymal Transition","3/200",0.822978007155506,0.988916361661471,0,0,0.67005076142132,0.13054317659801,"SFRP1;LAMA3;MATN2"
"heme Metabolism","3/200",0.822978007155506,0.988916361661471,0,0,0.67005076142132,0.13054317659801,"ALDH1L1;CA1;RHAG"
"IL-6/JAK/STAT3 Signaling","1/87",0.858145440708949,0.988916361661471,0,0,0.512232979059244,0.078362262990908,"CNTFR"
"Apoptosis","2/161",0.874848727623259,0.988916361661471,0,0,0.55328798185941,0.0739769769386935,"GSN;IGFBP6"
"Protein Secretion","1/96",0.884151617160661,0.988916361661471,0,0,0.463491307454156,0.0570681637057694,"EGFR"
"PI3K/AKT/mTOR  Signaling","1/105",0.905398772612655,0.988916361661471,0,0,0.423185694396102,0.0420561095073835,"EGFR"
"Bile Acid Metabolism","1/112",0.919196518497517,0.988916361661471,0,0,0.396355631649749,0.0333950785016413,"CYP39A1"
"IL-2/STAT5 Signaling","2/199",0.937045859854097,0.988916361661471,0,0,0.445687581293093,0.0289799679599765,"CDKN1C;PLAGL1"
"mTORC1 Signaling","2/200",0.938198054850038,0.988916361661471,0,0,0.443413729128015,0.0282872269426219,"PHGDH;VLDLR"
"Glycolysis","2/200",0.938198054850038,0.988916361661471,0,0,0.443413729128015,0.0282872269426219,"VLDLR;EGFR"
"KRAS Signaling Up","2/200",0.938198054850038,0.988916361661471,0,0,0.443413729128015,0.0282872269426219,"ALDH1A2;SPRY2"
"Fatty Acid Metabolism","1/158",0.971364139203312,0.988916361661471,0,0,0.279563074617402,0.0081223882101625,"MAOA"
"G2-M Checkpoint","1/200",0.988916361661471,0.988916361661471,0,0,0.220082312012551,0.00245293170643593,"DMD"
"Estrogen Response Early","1/200",0.988916361661471,0.988916361661471,0,0,0.220082312012551,0.00245293170643593,"CALB2"
"Complement","1/200",0.988916361661471,0.988916361661471,0,0,0.220082312012551,0.00245293170643593,"L3MBTL4"
"p53 Pathway","1/200",0.988916361661471,0.988916361661471,0,0,0.220082312012551,0.00245293170643593,"ZBTB16"
"Allograft Rejection","1/200",0.988916361661471,0.988916361661471,0,0,0.220082312012551,0.00245293170643593,"EGFR"
