"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Signaling By NTRK2 (TRKB) R-HSA-9006115","4/23",0.00150538694325077,0.403720167057907,0,0,9.36961994964633,60.8903989070539,"NTF4;NTRK2;NTF3;GRIN2B"
"Melanin Biosynthesis R-HSA-5662702","2/5",0.00468296084068693,0.403720167057907,0,0,29.5600907029478,158.555144966848,"OCA2;DCT"
"NGF-independant TRKA Activation R-HSA-187024","2/5",0.00468296084068693,0.403720167057907,0,0,29.5600907029478,158.555144966848,"NTRK2;ADCYAP1R1"
"Activated NTRK2 Signals Thru FYN R-HSA-9032500","2/6",0.00692175224100861,0.403720167057907,0,0,22.1689342403628,110.248023763495,"NTRK2;GRIN2B"
"Activated NTRK2 Signals Thru PI3K R-HSA-9028335","2/6",0.00692175224100861,0.403720167057907,0,0,22.1689342403628,110.248023763495,"NTF4;NTRK2"
"Activated NTRK3 Signals Thru PI3K R-HSA-9603381","2/6",0.00692175224100861,0.403720167057907,0,0,22.1689342403628,110.248023763495,"NTRK3;NTF3"
"Activation Of TRKA Receptors R-HSA-187015","2/6",0.00692175224100861,0.403720167057907,0,0,22.1689342403628,110.248023763495,"NTRK2;ADCYAP1R1"
"Defective B3GALTL Causes PpS R-HSA-5083635","4/37",0.00880282119152648,0.403720167057907,0,0,5.39076413336094,25.512777873013,"ADAMTS5;ADAMTS18;ADAMTS8;ADAMTS9"
"Activated NTRK2 Signals Thru RAS R-HSA-9026519","2/7",0.00954904896297951,0.403720167057907,0,0,17.7342403628118,82.4875154153735,"NTF4;NTRK2"
"Activated NTRK3 Signals Thru RAS R-HSA-9034864","2/7",0.00954904896297951,0.403720167057907,0,0,17.7342403628118,82.4875154153735,"NTRK3;NTF3"
"Erythrocytes Take Up Oxygen And Release Carbon Dioxide R-HSA-1247673","2/7",0.00954904896297951,0.403720167057907,0,0,17.7342403628118,82.4875154153735,"CA1;RHAG"
"O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214","4/38",0.00966994412114748,0.403720167057907,0,0,5.23194425834115,24.2695911674635,"ADAMTS5;ADAMTS18;ADAMTS8;ADAMTS9"
"Activated NTRK2 Signals Thru FRS2 And FRS3 R-HSA-9028731","2/9",0.0158968498609713,0.612640136949741,0,0,12.6660187884678,52.4580180023469,"NTF4;NTRK2"
"Erythrocytes Take Up Carbon Dioxide And Release Oxygen R-HSA-1237044","2/11",0.0235877762578871,0.844105421800101,0,0,9.85034013605442,36.9094870635159,"CA1;RHAG"
"FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017","3/29",0.0257482033757152,0.859989992748888,0,0,5.12176573426573,18.7425404928191,"PCK1;PPARGC1A;PLXNA4"
"Signaling By NTRKs R-HSA-166520","7/132",0.0277599966385654,0.86923489474508,0,0,2.49585321100917,8.94553540890259,"NTF4;NTRK2;ADCYAP1R1;TF;NTRK3;NTF3;GRIN2B"
"Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361","4/53",0.029655964753043,0.873978725957326,0,0,3.62753939844731,12.7620173433892,"GSN;CDH23;KCNQ4;OTOGL"
"ERBB2 Activates PTK6 Signaling R-HSA-8847993","2/13",0.0324924933708032,0.888139718680479,0,0,8.0585446299732,27.6145871039255,"NRG2;EGFR"
"Negative Regulation Of FGFR1 Signaling R-HSA-5654726","3/33",0.0360460137704995,0.888139718680479,0,0,4.43795454545455,14.7471409823697,"KL;SPRY2;FGF10"
"ERBB2 Regulates Cell Motility R-HSA-6785631","2/15",0.0424903773232109,0.888139718680479,0,0,6.81807081807082,21.5347242582593,"NRG2;EGFR"
"GRB2 Events In ERBB2 Signaling R-HSA-1963640","2/15",0.0424903773232109,0.888139718680479,0,0,6.81807081807082,21.5347242582593,"NRG2;EGFR"
"Protein-protein Interactions At Synapses R-HSA-6794362","5/88",0.0458390584993225,0.888139718680479,0,0,2.67838477196457,8.25643910607347,"NLGN1;SYT2;NTRK3;GRIN2B;LRRC4B"
"Nucleotide-like (Purinergic) Receptors R-HSA-418038","2/16",0.0478638171743971,0.888139718680479,0,0,6.33074182053774,19.2416278375619,"GPR17;ADORA1"
"PI3K Events In ERBB2 Signaling R-HSA-1963642","2/16",0.0478638171743971,0.888139718680479,0,0,6.33074182053774,19.2416278375619,"NRG2;EGFR"
"Phospholipase C-mediated Cascade: FGFR1 R-HSA-5654219","2/16",0.0478638171743971,0.888139718680479,0,0,6.33074182053774,19.2416278375619,"KL;FGF10"
"Signaling By NTRK3 (TRKC) R-HSA-9034015","2/16",0.0478638171743971,0.888139718680479,0,0,6.33074182053774,19.2416278375619,"NTRK3;NTF3"
"FGFR1 Ligand Binding And Activation R-HSA-190242","2/16",0.0478638171743971,0.888139718680479,0,0,6.33074182053774,19.2416278375619,"KL;FGF10"
"IL-6-type Cytokine Receptor Ligand Interactions R-HSA-6788467","2/17",0.0534690029934403,0.903378095954405,0,0,5.90839002267574,17.303625206656,"CNTFR;LIFR"
"Other Semaphorin Interactions R-HSA-416700","2/19",0.0653236598396217,0.903378095954405,0,0,5.21275176737362,14.2224770465577,"SEMA6A;PLXNA4"
"Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995","4/69",0.0667862838928425,0.903378095954405,0,0,2.73236376379884,7.39448006640659,"ADAMTS5;ADAMTS18;ADAMTS8;ADAMTS9"
"Smooth Muscle Contraction R-HSA-445355","3/43",0.0694964916422295,0.903378095954405,0,0,3.32676136363636,8.87073933960899,"LMOD1;MYH11;SORBS1"
"Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844","2/20",0.0715487741700721,0.903378095954405,0,0,4.92290249433107,12.9835444242663,"NTRK3;LRRC4B"
"SHC-mediated cascade:FGFR1 R-HSA-5654688","2/20",0.0715487741700721,0.903378095954405,0,0,4.92290249433107,12.9835444242663,"KL;FGF10"
"Signal Transduction By L1 R-HSA-445144","2/20",0.0715487741700721,0.903378095954405,0,0,4.92290249433107,12.9835444242663,"EGFR;ITGA9"
"PI-3K cascade:FGFR1 R-HSA-5654689","2/21",0.0779568941119894,0.903378095954405,0,0,4.66356367108247,11.8995455404831,"KL;FGF10"
"SHC1 Events In ERBB2 Signaling R-HSA-1250196","2/21",0.0779568941119894,0.903378095954405,0,0,4.66356367108247,11.8995455404831,"NRG2;EGFR"
"Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686","2/21",0.0779568941119894,0.903378095954405,0,0,4.66356367108247,11.8995455404831,"NRG2;EGFR"
"FRS-mediated FGFR1 Signaling R-HSA-5654693","2/22",0.0845369008541881,0.903378095954405,0,0,4.43015873015873,10.9450045989713,"KL;FGF10"
"Sensory Processing Of Sound R-HSA-9659379","4/75",0.0849227554656819,0.903378095954405,0,0,2.50068978793032,6.16673401336557,"GSN;CDH23;KCNQ4;OTOGL"
"Signaling By FGFR1 R-HSA-5654736","3/49",0.0943644333096985,0.903378095954405,0,0,2.89194664031621,6.82670333484183,"KL;SPRY2;FGF10"
"Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530","4/78",0.094801492374668,0.903378095954405,0,0,2.39894108231238,5.6518335275515,"KL;NRG2;EGFR;FGF10"
"Degradation Of Extracellular Matrix R-HSA-1474228","5/109",0.0948648136420846,0.903378095954405,0,0,2.13525201966983,5.02916423882211,"ADAMTS5;CAPN11;ADAMTS18;ADAMTS8;ADAMTS9"
"Signaling By ERBB2 KD Mutants R-HSA-9664565","2/24",0.09817009136173,0.903378095954405,0,0,4.02700474129046,9.34689416863258,"NRG2;EGFR"
"Interleukin-6 Family Signaling R-HSA-6783589","2/24",0.09817009136173,0.903378095954405,0,0,4.02700474129046,9.34689416863258,"CNTFR;LIFR"
