"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Defense Response To Symbiont (GO:0140546)","17/148",6.98541911642742e-11,1.11836560054003e-07,0,0,9.1371849085617,213.669514992921,"RSAD2;STAT1;MX1;RNASE6;IFI6;ISG15;IFIT1;DDX60;OASL;PTPRC;IFI27;OAS1;OAS2;OAS3;IRF7;PMAIP1;TLR7"
"Defense Response To Virus (GO:0051607)","18/189",4.32779425415176e-10,3.46439930044848e-07,0,0,7.42314269428083,160.048842505242,"RSAD2;STAT1;MX1;RNASE6;IFI6;ISG15;IFIT1;DDX60;OASL;CXCL10;PTPRC;IFI27;OAS1;OAS2;OAS3;IRF7;PMAIP1;TLR7"
"Interleukin-27-Mediated Signaling Pathway (GO:0070106)","5/5",6.74974945633139e-10,3.60211629319552e-07,0,0,98525,2080487.94465614,"OAS1;OAS2;STAT1;MX1;OASL"
"Antigen Receptor-Mediated Signaling Pathway (GO:0050851)","14/134",1.18822165795305e-08,4.75585718595707e-06,0,0,8.13137603795967,148.383162909422,"FYB1;PTPN22;CD3D;IGHG3;IGHG4;IGHG1;IGHG2;PTPRC;TRBC2;CD19;TRBC1;BLNK;CTLA4;MS4A1"
"B Cell Receptor Signaling Pathway (GO:0050853)","9/46",1.99752870176742e-08,6.39608690305927e-06,0,0,16.7276507276507,296.560671998631,"IGHG3;IGHG4;IGHG1;IGHG2;PTPRC;CD19;BLNK;CTLA4;MS4A1"
"T Cell Activation (GO:0042110)","12/111",9.11477060894857e-08,2.43212462415444e-05,0,0,8.39747296284399,136.129624565926,"CD86;CD2;CD84;PTPRC;CD80;TRBC2;TRBC1;RHOH;PTPN22;LCP1;FOXP3;CD3D"
"Regulation Of Ribonuclease Activity (GO:0060700)","4/5",2.2922697378746e-07,5.18511924519283e-05,0,0,270.845360824742,4140.83370045301,"OAS1;OAS2;OAS3;OASL"
"Negative Regulation Of Viral Process (GO:0048525)","9/61",2.59094028491834e-07,5.18511924519283e-05,0,0,11.8932894029048,180.374516663985,"RSAD2;OAS1;OAS2;STAT1;OAS3;MX1;ISG15;IFIT1;OASL"
"Cytokine-Mediated Signaling Pathway (GO:0019221)","17/257",2.96817527960726e-07,5.28005402516803e-05,0,0,4.95960731414868,74.5436332972213,"CCR1;CXCL9;CCL11;CCL22;STAT1;MX1;LILRA4;OASL;UGCG;CXCL10;CXCL11;OAS1;OAS2;IL21R;PYDC1;IL12RB1;IL9R"
"Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)","10/82",3.50931340187685e-07,5.61841075640484e-05,0,0,9.567738791423,142.202194482235,"CD86;SPN;CD2;CD84;FCGR3A;PTPRC;OAS1;OAS2;OAS3;LCP1"
"Positive Regulation Of Type I Interferon Production (GO:0032481)","9/64",3.95858508242884e-07,5.76154065178961e-05,0,0,11.2428480610299,165.744415780517,"TRAF3IP3;OAS1;OAS2;STAT1;OAS3;IRF7;PTPN22;TLR7;ISG15"
"Regulation Of Nuclease Activity (GO:0032069)","4/6",6.79688546963849e-07,9.06817803074268e-05,0,0,135.415807560137,1923.12535259124,"OAS1;OAS2;OAS3;OASL"
"Negative Regulation Of Viral Genome Replication (GO:0045071)","8/53",1.01533304529771e-06,0.000120459014736299,0,0,12.1780874951607,168.061186278973,"RSAD2;OAS1;OAS2;OAS3;MX1;ISG15;IFIT1;OASL"
"Negative Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050858)","6/24",1.05335803017376e-06,0.000120459014736299,0,0,22.7070357554787,312.528908178879,"FCRL3;SH2D1A;LAPTM5;PTPN22;EZR;CD22"
"Positive Regulation Of Cytokine Production (GO:0001819)","18/320",1.41709169856929e-06,0.000151250920627295,0,0,4.17498266669854,56.224090298873,"CD86;TRAF3IP3;TGFB1;CD80;F2R;LAPTM5;ISG15;PTPN22;SULF1;SULF2;CD2;PTPRC;CD6;IRF7;TLR7;LCP1;IL12RB1;CARD11"
"Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760)","9/78",2.18870692229854e-06,0.000209979728427091,0,0,8.95530556400122,116.707329902105,"SPN;CD2;CD84;FCGR3A;PTPRC;OAS1;OAS2;OAS3;LCP1"
