"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Viral protein interaction with cytokine and cytokine receptor","13/100",2.71375845968633e-09,2.79637304751154e-07,0,0,10.3951251324692,205.04312885792,"CCR1;CXCL9;CCL11;CCL22;CCL4L2;CCL3L3;IL24;CXCR4;CXCL10;CXCL11;CCR8;CCR5;CCR4"
"Cytokine-cytokine receptor interaction","21/295",3.17769664489947e-09,2.79637304751154e-07,0,0,5.43517235867654,106.350611215818,"CCR1;CXCL9;CCL11;CCL22;TGFB1;TNFRSF12A;CCL4L2;CCL3L3;TNFRSF9;IL24;CXCR4;INHBA;TNFSF13B;CXCL10;CXCL11;IL21R;CCR8;CCR5;IL12RB1;CCR4;IL9R"
"Cell adhesion molecules","15/148",5.39978019935247e-09,3.16787105028678e-07,0,0,7.88345864661654,150.076673729681,"CD86;CNTNAP2;SELPLG;ITGA4;CD80;SPN;CD2;VCAN;PTPRC;SELL;CD6;SDC1;CTLA4;ICOS;CD22"
"Chemokine signaling pathway","14/192",1.05803224316558e-06,4.65534186992853e-05,0,0,5.46559238674077,75.2016308387861,"CCR1;CXCL9;CCL11;CCL22;STAT1;CCL4L2;CCL3L3;CXCR4;CXCL10;CXCL11;RAC2;CCR8;CCR5;CCR4"
"Toll-like receptor signaling pathway","10/104",3.21912568542338e-06,0.000113313224126903,0,0,7.32026875699888,92.5750523832168,"CD86;CXCL10;CXCL11;CXCL9;STAT1;CCL4L2;CD80;CCL3L3;IRF7;TLR7"
"Intestinal immune network for IgA production","7/48",6.20526149186565e-06,0.000182021003761392,0,0,11.6571815718157,139.770924285135,"CD86;TGFB1;ITGA4;CD80;CXCR4;ICOS;TNFSF13B"
"Hepatitis C","10/157",0.000116366107846808,0.00292577642586261,0,0,4.66833751044277,42.2893922171032,"CXCL10;RSAD2;OAS1;PPP2R2C;OAS2;STAT1;OAS3;MX1;IRF7;IFIT1"
"B cell receptor signaling pathway","7/81",0.000193628673993344,0.00425983082785357,0,0,6.44786974474474,55.1265026730252,"CD19;BLNK;RAC2;DAPP1;CARD11;LILRA4;CD22"
"Primary immunodeficiency","5/38",0.00022731715568539,0.00444531326673652,0,0,10.2779519331243,86.2234279894443,"PTPRC;CD19;BLNK;ICOS;CD3D"
"Hematopoietic cell lineage","7/99",0.000662017810066435,0.0116515134571693,0,0,5.18157457729469,37.9302560018523,"CD2;ITGA4;CD19;CD3D;MS4A1;CD22;IL9R"
"Epstein-Barr virus infection","10/202",0.000866675477154012,0.0138668076344642,0,0,3.56597222222222,25.1431208248583,"CXCL10;OAS1;STAT1;OAS2;CD19;OAS3;BLNK;IRF7;ISG15;CD3D"
"Influenza A","9/172",0.00105744937014611,0.0146608192843785,0,0,3.77274872366897,25.850480097111,"CXCL10;RSAD2;OAS1;OAS2;STAT1;OAS3;MX1;IRF7;TLR7"
"Measles","8/139",0.00108290142441432,0.0146608192843785,0,0,4.16501316594409,28.4391736128083,"OAS1;OAS2;STAT1;OAS3;MX1;IRF7;TLR7;CD3D"
"Rheumatoid arthritis","6/93",0.00255117368748997,0.0308593024273495,0,0,4.6815415821501,27.9544293165873,"CD86;TGFB1;CD80;CCL3L3;CTLA4;TNFSF13B"
"Inflammatory bowel disease","5/65",0.00270734501602703,0.0308593024273495,0,0,5.64511494252874,33.3727161326466,"TGFB1;STAT1;IL21R;IL12RB1;FOXP3"
"Osteoclast differentiation","7/127",0.00280539112975905,0.0308593024273495,0,0,3.96686921296296,23.3101656995048,"FCGR3A;TGFB1;STAT1;CAMK4;SIRPG;BLNK;LILRA4"
"Protein digestion and absorption","6/103",0.0042367913305284,0.0438632514219411,0,0,4.19676809474548,22.9309270774873,"COL24A1;COL11A1;COL12A1;COL8A1;COL10A1;ATP1A3"
"Th17 cell differentiation","6/107",0.00510096336373026,0.0498760862231404,0,0,4.02973722977834,21.2702662379751,"TGFB1;STAT1;IL21R;IL12RB1;FOXP3;CD3D"
"Leishmaniasis","5/77",0.00561500447766193,0.0520126730562368,0,0,4.70138888888889,24.3640682555205,"FCGR3A;TGFB1;ITGA4;STAT1;EEF1A2"
"Kaposi sarcoma-associated herpesvirus infection","8/193",0.00805675154514644,0.0708994135972887,0,0,2.94114323382616,14.1799716333283,"CCR1;CD86;STAT1;LEF1;IRF7;CCR8;CCR5;CCR4"
"Cytosolic DNA-sensing pathway","4/63",0.0139804332079153,0.117169344980623,0,0,4.57708660958705,19.5446017633783,"ZBP1;CXCL10;CCL4L2;IRF7"
"T cell receptor signaling pathway","5/104",0.0190058014235263,0.15204641138821,0,0,3.41448972483455,13.5316603673884,"PTPRC;CTLA4;ICOS;CD3D;CARD11"
"Coronavirus disease","8/232",0.0221882103742406,0.169788044602884,0,0,2.42421602787456,9.23188540572781,"CXCL10;OAS1;STAT1;OAS2;OAS3;MX1;TLR7;ISG15"
"Leukocyte transendothelial migration","5/114",0.0269879131184993,0.197911362868995,0,0,3.09965200885796,11.1970780725766,"ITGA4;RAC2;RHOH;CXCR4;EZR"
"Malaria","3/50",0.0374344170903248,0.259405209392463,0,0,4.29714368988633,14.1168249957624,"COMP;TGFB1;SDC1"
"Colorectal cancer","4/86",0.0384330889645158,0.259405209392463,0,0,3.28941413125471,10.7196628300995,"TGFB1;LEF1;RAC2;PMAIP1"
"ECM-receptor interaction","4/88",0.0412672182698437,0.259405209392463,0,0,3.21076746849943,10.2349212078562,"COMP;ITGA4;FN1;SDC1"
"Autoimmune thyroid disease","3/53",0.0433392356904962,0.259405209392463,0,0,4.03869863013699,12.6762509440624,"CD86;CD80;CTLA4"
"Regulation of actin cytoskeleton","7/218",0.043368884517255,0.259405209392463,0,0,2.24555687203791,7.04658675013627,"CYFIP2;ITGA4;F2R;FN1;RAC2;CXCR4;EZR"
"Hypertrophic cardiomyopathy","4/90",0.0442167970555335,0.259405209392463,0,0,3.13577879005834,9.77939821131799,"TGFB1;ITGA4;TPM3;CACNG4"
"NOD-like receptor signaling pathway","6/181",0.0521552800203003,0.295659709198129,0,0,2.31695501730104,6.84319581829852,"OAS1;OAS2;STAT1;OAS3;IRF7;PYDC1"
"Dilated cardiomyopathy","4/96",0.0537563107632962,0.295659709198129,0,0,2.93037501867623,8.56634832322233,"TGFB1;ITGA4;TPM3;CACNG4"
"Human papillomavirus infection","9/331",0.0577103339665286,0.304338166818152,0,0,1.89426877470356,5.40305886132544,"COMP;ITGA4;PPP2R2C;STAT1;WNT7B;MX1;FN1;ISG15;OASL"
"Viral myocarditis","3/60",0.058792600408052,0.304338166818152,0,0,3.54145638067772,10.0355640380317,"CD86;CD80;RAC2"
"AGE-RAGE signaling pathway in diabetic complications","4/100",0.0606871196843439,0.305169516126987,0,0,2.80770332187858,7.86725153050599,"TGFB1;STAT1;FN1;NOX4"
"Chagas disease","4/102",0.064321773845388,0.314462005466341,0,0,2.75012272950417,7.54594371135521,"TGFB1;PPP2R2C;CCL3L3;CD3D"
"NF-kappa B signaling pathway","4/104",0.0680680245952676,0.323783035912624,0,0,2.69484536082474,7.24171703044532,"CCL4L2;BLNK;CARD11;TNFSF13B"
"Proteoglycans in cancer","6/205",0.0837804292270839,0.382130111287226,0,0,2.03501938759542,5.04594420745699,"TGFB1;LUM;WNT7B;FN1;SDC1;EZR"
"RIG-I-like receptor signaling pathway","3/70",0.0846765587511466,0.382130111287226,0,0,3.01134737272541,7.43476513087257,"CXCL10;IRF7;ISG15"
"JAK-STAT signaling pathway","5/162",0.0922417097495022,0.40586352289781,0,0,2.14671645069185,5.11636134090177,"STAT1;IL24;IL21R;IL12RB1;IL9R"
"Wnt signaling pathway","5/166",0.0997087162726745,0.420784385037187,0,0,2.09295352323838,4.82530891221016,"SFRP2;WNT7B;LEF1;RAC2;CCN4"
"Pancreatic cancer","3/76",0.10215351380505,0.420784385037187,0,0,2.76299493338337,6.30316110243815,"TGFB1;STAT1;RAC2"
"Thyroid cancer","2/37",0.103162327203366,0.420784385037187,0,0,3.83617747440273,8.71369122833696,"TPM3;LEF1"
"Arrhythmogenic right ventricular cardiomyopathy","3/77",0.105196096259297,0.420784385037187,0,0,2.72551832654572,6.13767399715886,"ITGA4;LEF1;CACNG4"
"Allograft rejection","2/38",0.107876046872979,0.421915205547652,0,0,3.72942737959803,8.304586050396,"CD86;CD80"
"Human cytomegalovirus infection","6/225",0.116701921209109,0.446511698539199,0,0,1.8472768640091,3.9681950561742,"CCR1;CCL4L2;CCL3L3;RAC2;CXCR4;CCR5"
"Graft-versus-host disease","2/42",0.127267931112889,0.476577784592946,0,0,3.35580204778157,6.91785410895387,"CD86;CD80"
"Type I diabetes mellitus","2/43",0.132237278043093,0.484870019491341,0,0,3.27378673104137,6.62338588085841,"CD86;CD80"
"Cardiac muscle contraction","3/87",0.137457138696878,0.490411684703845,0,0,2.39982876712329,4.76232370778555,"TPM3;ATP1A3;CACNG4"
"Systemic lupus erythematosus","4/135",0.13932150133632,0.490411684703845,0,0,2.05388106293119,4.04814013031799,"CD86;FCGR3A;CD80;H3C12"
"Yersinia infection","4/137",0.144680106246004,0.499288209790132,0,0,2.02278893109061,3.91051652348047,"FYB1;ITGA4;FN1;RAC2"
"Neutrophil extracellular trap formation","5/189",0.148112393186017,0.501303484629596,0,0,1.82917916041979,3.49333687421529,"FCGR3A;SELPLG;H3C12;RAC2;TLR7"
"Th1 and Th2 cell differentiation","3/92",0.154705203228492,0.504770246984711,0,0,2.2644297368016,4.22595551103054,"STAT1;IL12RB1;CD3D"
"Salivary secretion","3/93",0.158233466698767,0.504770246984711,0,0,2.23915525114155,4.12829403662645,"CST2;ATP1A3;CST4"
"IL-17 signaling pathway","3/94",0.161786383775369,0.504770246984711,0,0,2.21443624868282,4.03354786726131,"CXCL10;MMP13;CCL11"
"Sphingolipid metabolism","2/49",0.162889049942732,0.504770246984711,0,0,2.85498511364462,5.18090147350816,"UGCG;CERS6"
"Pathways in cancer","11/531",0.163476727716639,0.504770246984711,0,0,1.42900189599133,2.58804337993143,"TGFB1;STAT1;TPM3;WNT7B;F2R;LEF1;FN1;RAC2;CXCR4;PMAIP1;IL12RB1"
"Fc gamma R-mediated phagocytosis","3/97",0.17258640017288,0.523710455697016,0,0,2.1434348586418,3.76570917277154,"FCGR3A;PTPRC;RAC2"
"Adrenergic signaling in cardiomyocytes","4/150",0.181345927876477,0.532784666895331,0,0,1.84145365532175,3.14400381389735,"PPP2R2C;TPM3;ATP1A3;CACNG4"
