"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Interferon Alpha Response","20/97",1.22216760303441e-17,4.27758661062042e-16,0,0,18.5388429752066,721.964105070492,"SAMD9L;RSAD2;SAMD9;MX1;IFI44;ISG15;DDX60;PARP9;OASL;HELZ2;CXCL10;CXCL11;IFI27;SELL;OAS1;LAMP3;EPSTI1;IRF7;CMPK2;HERC6"
"Interferon Gamma Response","23/200",2.71288692978335e-14,4.74755212712087e-13,0,0,9.32917912927883,291.426557733306,"CD86;ZBP1;SAMD9L;CXCL9;RSAD2;STAT1;MX1;IFI44;ISG15;IFIT1;DDX60;OASL;HELZ2;CXCL10;CXCL11;IFI27;OAS2;OAS3;EPSTI1;IRF7;CMPK2;CD69;HERC6"
"Allograft Rejection","21/200",2.22446009243154e-12,2.59520344117012e-11,0,0,8.36043714064348,224.323126699471,"CCR1;CD86;CXCL9;IGSF6;FYB1;CCL11;CCL22;TGFB1;STAT1;TRAT1;CD80;GPR65;F2R;LY86;INHBA;CD3D;CD2;PTPRC;IRF7;CCR5;IL12RB1"
"IL-2/STAT5 Signaling","16/199",4.61909518782439e-08,3.46840383385898e-07,0,0,6.11771157725679,103.331096694628,"CD86;EOMES;CD83;GPR65;TNFRSF9;RGS16;RHOH;IKZF2;CST7;ADAM19;CXCL10;SELL;CTLA4;TLR7;ICOS;CCR4"
"Epithelial Mesenchymal Transition","16/200",4.95486261979854e-08,3.46840383385898e-07,0,0,6.08415147265077,102.337321779269,"LRRC15;TGFB1;TNFRSF12A;LUM;COL11A1;COL12A1;FN1;BGN;INHBA;COMP;VCAN;FAP;BASP1;SDC1;MATN3;CTHRC1"
"IL-6/JAK/STAT3 Signaling","10/87",6.15068217489242e-07,3.58789793535391e-06,0,0,8.94417862838915,127.915462704099,"CCR1;CXCL10;CXCL9;CXCL11;TGFB1;TNFRSF12A;ITGA4;STAT1;IL12RB1;IL9R"
"Inflammatory Response","14/200",1.72040924662926e-06,8.60204623314631e-06,0,0,5.22837025982474,69.3958884726926,"MSR1;CXCL9;CCL22;TNFRSF9;RGS16;INHBA;CXCL10;GPR132;CXCL11;SELL;RGS1;LAMP3;IRF7;CD69"
"Apoptosis","9/161",0.000661186519681507,0.00289269102360659,0,0,4.04805391976445,29.6377238715461,"CD2;TNFRSF12A;SLC20A1;LUM;F2R;LEF1;BGN;PMAIP1;CD69"
"KRAS Signaling Up","9/200",0.00296852457611449,0.0115442622404452,0,0,3.21506242448651,18.7106673655793,"MMP11;CXCL10;ADAMDEC1;RGS16;LAPTM5;CXCR4;INHBA;LCP1;MMP10"
"TGF-beta Signaling","4/54",0.00822459887116671,0.0287860960490835,0,0,5.40343642611684,25.9398760618228,"RAB31;TGFB1;SLC20A1;SKIL"
"TNF-alpha Signaling via NF-kB","8/200",0.0098700708642946,0.0314047709318465,0,0,2.83289779326365,13.0830252642595,"CXCL10;CXCL11;CD83;CD80;TNFRSF9;SLC16A6;CD69;INHBA"
"Apical Junction","7/200",0.0292526938024746,0.0853203569238841,0,0,2.45725388601036,8.67848900939494,"CD86;VCAN;FYB1;PTPRC;PPP2R2C;RAC2;ATP1A3"
"Cholesterol Homeostasis","3/74",0.0961770094820095,0.246269221863187,0,0,2.84111518425622,6.65265569614234,"TNFRSF12A;TP53INP1;MAL2"
"Angiogenesis","2/36",0.0985076887452749,0.246269221863187,0,0,3.94920698654889,9.15276376394488,"VCAN;LUM"
"Coagulation","4/138",0.147389447919349,0.320932628218657,0,0,2.00759091142227,3.84388792238028,"COMP;MMP11;FN1;MMP10"
"Estrogen Response Early","5/200",0.174220569604414,0.320932628218657,0,0,1.72502210433245,3.01436079431294,"UGCG;FCMR;RAB31;KCNK15;PMAIP1"
"Complement","5/200",0.174220569604414,0.320932628218657,0,0,1.72502210433245,3.01436079431294,"GZMK;MMP13;FN1;IRF7;PHEX"
"p53 Pathway","5/200",0.174220569604414,0.320932628218657,0,0,1.72502210433245,3.01436079431294,"CYFIP2;TGFB1;RGS16;F2R;SDC1"
"KRAS Signaling Dn","5/200",0.174220569604414,0.320932628218657,0,0,1.72502210433245,3.01436079431294,"RSAD2;CD80;MX1;CCR8;SKIL"
"PI3K/AKT/mTOR  Signaling","3/105",0.202306756655288,0.354036824146754,0,0,1.97451651893634,3.1552184306551,"CAMK4;DAPP1;CXCR4"
"Wnt-beta Catenin Signaling","1/42",0.464609246527075,0.764145289040984,0,0,1.63132570101211,1.25050667490695,"LEF1"
"Apical Surface","1/44",0.480319895968618,0.764145289040984,0,0,1.55529188419554,1.14050012231974,"SULF2"
"Myogenesis","3/200",0.568200722657478,0.828626053875488,0,0,1.01738404839719,0.575107401952222,"TGFB1;TPM3;AEBP1"
"Glycolysis","3/200",0.568200722657478,0.828626053875488,0,0,1.01738404839719,0.575107401952222,"VCAN;SDC1;CXCR4"
"Hypoxia","2/200",0.796991792201162,0.949558178571822,0,0,0.67249284655428,0.152595956122026,"BGN;CXCR4"
"G2-M Checkpoint","2/200",0.796991792201162,0.949558178571822,0,0,0.67249284655428,0.152595956122026,"TGFB1;HOXC10"
"mTORC1 Signaling","2/200",0.796991792201162,0.949558178571822,0,0,0.67249284655428,0.152595956122026,"CXCR4;DAPP1"
"Unfolded Protein Response","1/113",0.814353885085917,0.949558178571822,0,0,0.595025510204082,0.122194593001627,"IFIT1"
"Spermatogenesis","1/135",0.866395721072596,0.949558178571822,0,0,0.496776322469286,0.0712444420769098,"CAMK4"
"UV Response Dn","1/144",0.883230438184726,0.949558178571822,0,0,0.465296608153751,0.057775479925411,"COL11A1"
"DNA Repair","1/150",0.893261503607836,0.949558178571822,0,0,0.446422864447793,0.0503903842958386,"CMPK2"
"Mitotic Spindle","1/199",0.948795351526335,0.949558178571822,0,0,0.335102727959871,0.0176137198757138,"EZR"
"Estrogen Response Late","1/200",0.949558178571822,0.949558178571822,0,0,0.333401702389499,0.0172563645969774,"RAB31"
"E2F Targets","1/200",0.949558178571822,0.949558178571822,0,0,0.333401702389499,0.0172563645969774,"DCK"
"Xenobiotic Metabolism","1/200",0.949558178571822,0.949558178571822,0,0,0.333401702389499,0.0172563645969774,"CYFIP2"
