"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Interferon Alpha/Beta Signaling R-HSA-909733","13/72",3.91189931502183e-11,2.32758009243799e-08,0,0,15.3502824858757,367.860509289621,"RSAD2;STAT1;MX1;IFI6;ISG15;HOXC13;IFIT1;OASL;IFI27;OAS1;OAS2;OAS3;IRF7"
"Immune System R-HSA-168256","64/1943",5.64042947243941e-10,1.67802776805072e-07,0,0,2.62842213667121,55.9745905878796,"CYFIP2;CD86;CD80;IL24;PTPN22;HOXC13;IFIT1;CD3D;OASL;TNFSF13B;RAC2;BLNK;CTLA4;AP1S3;CCR5;HERC6;CD53;ZBP1;RSAD2;TNFRSF12A;ITGA4;DTX3L;RNASE6;RAP2C;CLEC4C;PLPP4;RAB31;IFI27;OAS1;OAS2;OAS3;IRF7;TLR10;TLR7;CARD11;IL9R;CCL11;IFI6;DAPP1;LILRA4;CD19;IL21R;ICOS;IL12RB1;CCR1;FYB1;CCL22;TGFB1;STAT1;TRAT1;TNFRSF9;SH2D1A;MX1;FN1;LY86;ISG15;CXCL10;PTPRC;SELL;CAPZA1;SDC1;SIGLEC8;KBTBD8;CD22"
"Extracellular Matrix Organization R-HSA-1474244","20/291",1.37893038678698e-08,2.47859954014245e-06,0,0,5.21543106340154,94.3960302287767,"TGFB1;COL24A1;ITGA4;LUM;COL11A1;COL12A1;FN1;BGN;MMP10;ASPN;COMP;ADAM19;MMP11;VCAN;MMP13;P4HA3;COL8A1;SDC1;COL10A1;MATN3"
"Cytokine Signaling In Immune System R-HSA-1280215","32/702",1.66628540513778e-08,2.47859954014245e-06,0,0,3.45678451847228,61.9113007613721,"CD86;CCL11;CD80;IL24;IFI6;HOXC13;IFIT1;OASL;TNFSF13B;BLNK;IL21R;CCR5;IL12RB1;CCR1;CCL22;TGFB1;RSAD2;TNFRSF12A;STAT1;TNFRSF9;MX1;FN1;ISG15;CXCL10;IFI27;OAS1;OAS2;CAPZA1;OAS3;IRF7;SDC1;IL9R"
"Chemokine Receptors Bind Chemokines R-HSA-380108","9/56",1.2072821660378e-07,1.43666577758498e-05,0,0,13.161880672519,209.665125927229,"CCR1;CXCL10;CXCL9;CXCL11;CCL11;CCL22;CCR8;CXCR4;CCR5"
"OAS Antiviral Response R-HSA-8983711","4/9",5.51269047990226e-06,0.000546675139256974,0,0,54.1580756013746,655.770770977696,"OAS1;OAS2;OAS3;OASL"
"Interferon Signaling R-HSA-913531","13/200",9.06747921088643e-06,0.000770735732925347,0,0,4.81158266014336,55.8664021795005,"RSAD2;STAT1;MX1;IFI6;ISG15;HOXC13;IFIT1;OASL;IFI27;OAS1;OAS2;OAS3;IRF7"
"ECM Proteoglycans R-HSA-3000178","7/55",1.56597037119802e-05,0.00116469046357852,0,0,9.95363136574074,110.131155841906,"COMP;VCAN;TGFB1;LUM;BGN;ASPN;MATN3"
"Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410","8/83",3.08293072407773e-05,0.00203815975647361,0,0,7.29570267131243,75.7807903967458,"OAS1;OAS2;STAT1;OAS3;MX1;ISG15;IFIT1;OASL"
"Interleukin-10 Signaling R-HSA-6783783","6/45",4.91456439792033e-05,0.0029241658167626,0,0,10.4689912163961,103.859955062627,"CD86;CCR1;CXCL10;CCL22;CD80;CCR5"
